"Package","Version"
"abind","1.4-8"
"admisc","0.36"
"afex","1.4-1"
"amap","0.8-19.1"
"arm","1.14-4"
"AsioHeaders","1.22.1-2"
"askpass","1.2.0"
"backports","1.5.0"
"bain","0.2.11"
"base64enc","0.1-3"
"bayesplot","1.11.1"
"bayestestR","0.14.0"
"bdsmatrix","1.3-7"
"Bergm","5.0.7"
"BFpack","1.3.0"
"BGGM","2.1.3"
"BH","1.84.0-0"
"bigD","0.2.0"
"BiocGenerics","0.50.0"
"BiocManager","1.30.25"
"BiocVersion","3.19.1"
"bit","4.5.0"
"bit64","4.5.2"
"bitops","1.0-8"
"blavaan","0.5-6"
"blob","1.2.4"
"bnlearn","5.0.1"
"bookdown","0.40"
"bootnet","1.6"
"brew","1.0-10"
"bridgesampling","1.1-2"
"brio","1.1.5"
"brms","2.22.0"
"Brobdingnag","1.2-9"
"broom","1.0.6"
"broom.helpers","1.17.0"
"broom.mixed","0.2.9.5"
"bruceR","2024.6"
"bslib","0.8.0"
"cachem","1.1.0"
"callr","3.7.6"
"candisc","0.9.0"
"car","3.1-2"
"carData","3.0-5"
"cards","0.2.2"
"cardx","0.2.1"
"caret","6.0-94"
"cellranger","1.1.0"
"checkmate","2.3.2"
"classInt","0.4-10"
"cli","3.6.3"
"clipr","0.8.0"
"clock","0.7.1"
"clue","0.3-66"
"clusterGeneration","1.3.8"
"cocor","1.1-4"
"coda","0.19-4.1"
"coin","1.4-3"
"collapse","2.0.16"
"collections","0.3.9"
"colorspace","2.1-1"
"combinat","0.0-8"
"commonmark","1.9.1"
"CompQuadForm","1.4.3"
"conflicted","1.2.0"
"corpcor","1.6.10"
"correlation","0.8.5"
"corrplot","0.94"
"countrycode","1.6.1"
"cowplot","1.1.3"
"cpp11","0.5.0"
"crayon","1.5.3"
"credentials","2.0.1"
"crosstalk","1.2.1"
"crul","1.5.0"
"curl","5.2.3"
"DAAG","1.25.6"
"dagitty","0.3-4"
"data.table","1.18.0"
"datawizard","0.12.3"
"DBI","1.2.3"
"dbplyr","2.5.0"
"deldir","2.0-4"
"DEoptimR","1.1-3"
"Deriv","4.1.6"
"desc","1.4.3"
"devtools","2.4.5"
"diagram","1.6.5"
"DiagrammeR","1.0.11"
"DiagrammeRsvg","0.1"
"diffobj","0.3.5"
"digest","0.6.35"
"distributional","0.5.0"
"dlookr","0.6.3"
"DMwR2","0.0.2"
"doBy","4.6.22"
"doParallel","1.0.17"
"doRNG","1.8.6.2"
"downlit","0.4.4"
"dplyr","1.1.4"
"DT","0.33"
"dtplyr","1.3.1"
"e1071","1.7-14"
"easystats","0.7.3"
"effectsize","0.8.9"
"eigenmodel","1.11"
"ellipse","0.5.0"
"ellipsis","0.3.2"
"emmeans","1.10.4"
"ergm","4.6.0"
"estimability","1.5.1"
"evaluate","1.0.0"
"expm","1.0-0"
"extraDistr","1.10.0"
